pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_bmassprov,pl_radj,pl_ttvflag,pl_kepflag,pl_k2flag,ra,dec,st_dist,st_optmag,st_optband,st_teff,st_mass,st_rad,pl_density,pl_name,planet_type,discovery_mission,discoveries_by_mission,planets_in_system,pl_orbper_norm,pl_orbsmax_norm,pl_orbeccen_norm,pl_bmassj_norm,pl_radj_norm,pl_density_norm,st_dist_norm,st_optmag_norm,st_teff_norm,st_mass_norm,st_rad_norm,pl_discmethod_cod,pl_letter_cod,pl_bmassprov_cod,st_optband_cod
11 Com,b,Radial Velocity,1,100.19248779,0.21918750000000004,0.1065,1.0150000000000001,Msini,0.203,0,0,0,185.179276,17.792868,110.62,7.81025,V (Johnson),4742.0,1.4500000000000002,1.73,,11 Com b,,Otra misión/Terrestre,914,1,1.0,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.08130715194089506,0.0,0.23752059308072493,1.0,1.0,7,0,2,1
11 UMi,b,Radial Velocity,1,100.19248779,0.21918750000000004,0.1065,1.0150000000000001,Msini,0.203,0,0,0,229.274536,71.823898,119.47,7.81025,V (Johnson),4340.0,1.4500000000000002,1.73,,11 UMi b,,Otra misión/Terrestre,914,1,1.0,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.08800641918488464,0.0,0.10506589785831966,1.0,1.0,7,0,2,1
14 And,b,Radial Velocity,1,100.19248779,0.21918750000000004,0.1065,1.0150000000000001,Msini,0.203,0,0,0,352.822571,39.236198,76.39,13.971,Kepler-band,4813.0,1.4500000000000002,1.73,,14 And b,,Otra misión/Terrestre,914,1,1.0,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.055395748803972626,0.5348801875325576,0.2609143327841845,1.0,1.0,7,0,2,0
14 Her,b,Radial Velocity,1,100.19248779,0.21918750000000004,0.1065,1.0150000000000001,Msini,0.203,0,0,0,242.601303,43.817646,18.15,7.81025,V (Johnson),5311.0,0.9,0.98,,14 Her b,,Otra misión/Terrestre,914,1,1.0,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.011309271483073941,0.0,0.42500000000000004,0.42708333333333337,0.47916666666666663,7,0,2,1
16 Cyg B,b,Radial Velocity,1,100.19248779,0.21918750000000004,0.1065,1.0150000000000001,Msini,0.203,0,0,0,295.466553,50.517525,21.41,7.81025,V (Johnson),5674.0,0.99,0.98,,16 Cyg B b,,Otra misión/Terrestre,914,1,1.0,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.013777024162780843,0.0,0.5446046128500823,0.5208333333333333,0.47916666666666663,7,0,2,1
18 Del,b,Radial Velocity,1,100.19248779,0.21918750000000004,0.1065,1.0150000000000001,Msini,0.203,0,0,0,314.608063,10.839286,73.1,13.971,Kepler-band,4979.0,1.4500000000000002,1.73,,18 Del b,,Otra misión/Terrestre,914,1,1.0,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.052905286743777626,0.5348801875325576,0.31560955518945644,1.0,1.0,7,0,2,0
1RXS J160929.1-210524,b,Imaging,1,12.794585,0.21918750000000004,0.1065,1.0150000000000001,Mass,0.203,0,0,0,242.376268,-21.083036,145.0,13.971,Kepler-band,4060.0,0.85,0.98,,1RXS J160929.1-210524 b,,Otra misión/Terrestre,914,1,0.1269096165885919,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.10733210198025799,0.5348801875325576,0.012808896210873222,0.375,0.47916666666666663,2,0,0,0
24 Sex,b,Radial Velocity,2,100.19248779,0.21918750000000004,0.1065,1.0150000000000001,Msini,0.203,0,0,0,155.86821,-0.902244,74.79,7.81025,V (Johnson),5098.0,1.4500000000000002,1.73,,24 Sex b,,Otra misión/Terrestre,914,2,1.0,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.05418458184460728,0.0,0.35481878088962104,1.0,1.0,7,0,2,1
24 Sex,c,Radial Velocity,2,100.19248779,0.21918750000000004,0.1065,1.0150000000000001,Msini,0.203,0,0,0,155.86821,-0.902244,74.79,7.81025,V (Johnson),5098.0,1.4500000000000002,1.73,,24 Sex c,,Otra misión/Terrestre,914,2,1.0,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.05418458184460728,0.0,0.35481878088962104,1.0,1.0,7,1,2,1
2MASS J01225093-2439505,b,Imaging,1,12.794585,0.21918750000000004,0.1065,1.0150000000000001,Mass,0.203,0,0,0,20.712243,-24.664049,36.0,14.24,V (Johnson),4021.125,0.4899999999999998,0.98,,2MASS J01225093-2439505 b,,Otra misión/Terrestre,914,1,0.1269096165885919,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.024821352873493612,0.558234936620941,0.0,0.0,0.47916666666666663,2,0,0,1
2MASS J02192210-3925225,b,Imaging,1,12.794585,0.21918750000000004,0.1065,1.0150000000000001,Mass,0.41800000000000004,0,0,0,34.842106,-39.422928,39.4,13.971,Kepler-band,4021.125,0.4899999999999998,0.2899999999999999,4.65508187585734,2MASS J02192210-3925225 b,Rocoso/Compacto,Otra misión/Terrestre,914,1,0.1269096165885919,1.0,0.0,0.0,1.0000000000000002,0.0,0.02739508266214498,0.5348801875325576,0.0,0.0,0.0,2,0,0,0
2MASS J04414489+2301513,b,Imaging,1,12.794585,0.21918750000000004,0.1065,1.0150000000000001,Mass,0.203,0,0,0,70.437073,23.030941,140.0,13.971,Kepler-band,5626.0,0.4899999999999998,0.98,,2MASS J04414489+2301513 b,,Otra misión/Terrestre,914,1,0.1269096165885919,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.10354720523224127,0.5348801875325576,0.5287891268533773,0.0,0.47916666666666663,2,0,0,0
2MASS J12073346-3932539,b,Imaging,1,12.794585,0.21918750000000004,0.1065,1.0150000000000001,Mass,0.203,0,0,0,181.889447,-39.548332,52.4,19.32825,V (Johnson),5626.0,0.4899999999999998,0.98,,2MASS J12073346-3932539 b,,Otra misión/Terrestre,914,1,0.1269096165885919,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.03723581420698843,0.9999999999999999,0.5287891268533773,0.0,0.47916666666666663,2,0,0,1
2MASS J19383260+4603591,b,Eclipse Timing Variations,1,100.19248779,0.21918750000000004,0.1065,1.0150000000000001,Mass,0.203,0,1,0,294.635865,46.066418,511.5,12.264,Kepler-band,5626.0,0.4899999999999998,0.98,,2MASS J19383260+4603591 b,,Kepler,2329,1,1.0,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.3847650336098831,0.3866773745441915,0.5287891268533773,0.0,0.47916666666666663,1,0,0,0
2MASS J21402931+1625183 A,b,Imaging,1,100.19248779,0.122,0.1065,1.0150000000000001,Mass,0.41800000000000004,0,0,0,325.122159,16.421759,25.0,13.971,Kepler-band,4021.125,0.4899999999999998,0.2899999999999999,26.904228651269825,2MASS J21402931+1625183 A b,Rocoso/Compacto,Otra misión/Terrestre,914,1,1.0,0.47832796564680613,0.0,0.0,1.0000000000000002,0.0,0.016494580027856844,0.5348801875325576,0.0,0.0,0.0,2,0,0,0
30 Ari B,b,Radial Velocity,1,100.19248779,0.21918750000000004,0.1065,1.0150000000000001,Msini,0.203,0,0,0,39.240585,24.648064,39.43,13.971,Kepler-band,6300.0,1.16,1.13,,30 Ari B b,,Otra misión/Terrestre,914,1,1.0,1.0,0.0,0.0,0.45012787723785175,0.0020839577727010212,0.02741779204263308,0.5348801875325576,0.7508649093904449,0.6979166666666665,0.5833333333333333,7,0,2,0
